ticker
AAL
AAPL
AIG
AMAT
AMD
AMZN
BA
BAC
BBRY
BIDU
BP
BX
C
CLF
CMCSA
CMG
CSCO
DAL
DD
DDD
DHI
DIA
EBAY
EEM
EFA
EMC
EPB
EWZ
F
FB
FXI
GDX
GE
GILD
GLD
GM
GRPN
GT
HD
HLF
HYG
INTC
IWM
IYR
JCP
JNJ
JPM
LNG
LNKD
MCD
MGM
MNKD
MSFT
MU
MWE
NDX
NFLX
NQ
NVDA
OXY
P
PBR
PCLN
PFE
PLUG
QCOM
QQQ
RUT
SCTY
SLV
SPX
SPY
T
TBT
TEVA
TLT
TMUS
TSLA
TWTR
UAL
USO
UVXY
VALE
VIX
VXX
VZ
WAG
WFC
WFM
WLT
WMB
XLE
XLF
XLU
XOM
XOP
XRT
YELP
YHOO
ZNGA
